date,city,province,country,lat,long,confirmed,recovered,unspecified,hospitalized,discharged,dead,daily_diff_confirm,daily_diff_recover,daily_diff_dead,source
2020-01-15,NA,kanagawa,japan,35.4913535,139.284143,1,1,0,0,0,0,NA,NA,NA,https://docs.google.com/spreadsheets/d/1jfB4muWkzKTR0daklmf8D5F0Uf_IYAgcx_-Ij9McClQ/edit#gid=0
2020-01-16,NA,NA,japan,36.204824,138.252924,1,0,1,0,0,0,0,-1,0,https://docs.google.com/spreadsheets/d/1jfB4muWkzKTR0daklmf8D5F0Uf_IYAgcx_-Ij9McClQ/edit#gid=0
2020-01-17,NA,NA,japan,36.204824,138.252924,1,0,1,0,0,0,0,0,0,https://docs.google.com/spreadsheets/d/1jfB4muWkzKTR0daklmf8D5F0Uf_IYAgcx_-Ij9McClQ/edit#gid=0
2020-01-18,NA,NA,japan,36.204824,138.252924,1,0,1,0,0,0,0,0,0,https://docs.google.com/spreadsheets/d/1jfB4muWkzKTR0daklmf8D5F0Uf_IYAgcx_-Ij9McClQ/edit#gid=0
2020-01-19,NA,NA,japan,36.204824,138.252924,1,0,1,0,0,0,0,0,0,https://docs.google.com/spreadsheets/d/1jfB4muWkzKTR0daklmf8D5F0Uf_IYAgcx_-Ij9McClQ/edit#gid=0
2020-01-20,NA,NA,japan,36.204824,138.252924,1,0,1,0,0,0,0,0,0,https://docs.google.com/spreadsheets/d/1jfB4muWkzKTR0daklmf8D5F0Uf_IYAgcx_-Ij9McClQ/edit#gid=0
2020-01-21,NA,NA,japan,36.204824,138.252924,1,0,1,0,0,0,0,0,0,https://docs.google.com/spreadsheets/d/1jfB4muWkzKTR0daklmf8D5F0Uf_IYAgcx_-Ij9McClQ/edit#gid=0
2020-01-22,NA,NA,japan,36.204824,138.252924,1,0,1,0,0,0,0,0,0,https://docs.google.com/spreadsheets/d/1jfB4muWkzKTR0daklmf8D5F0Uf_IYAgcx_-Ij9McClQ/edit#gid=0
2020-01-23,NA,NA,japan,36.204824,138.252924,1,0,1,0,0,0,0,0,0,https://docs.google.com/spreadsheets/d/1jfB4muWkzKTR0daklmf8D5F0Uf_IYAgcx_-Ij9McClQ/edit#gid=0
2020-01-24,NA,tokyo,japan,35.6761919,139.6503106,1,1,0,0,0,0,0,1,0,https://docs.google.com/spreadsheets/d/1jfB4muWkzKTR0daklmf8D5F0Uf_IYAgcx_-Ij9McClQ/edit#gid=0
