state,positive,negative,pending,death,total,lastUpdateEt,checkTimeEt
AK,3,334,NA,NA,337,3/17 00:01,3/17 15:15
AL,39,28,NA,0,67,3/17 16:30,3/17 16:59
AR,22,197,41,NA,260,3/17 00:00,3/17 15:15
AS,0,NA,NA,NA,0,3/14 00:00,3/17 16:02
AZ,20,142,66,0,228,3/17 00:00,3/17 15:15
CA,483,7981,NA,11,8464,3/16 21:00,3/17 19:28
CO,160,1056,NA,1,1216,3/16 17:00,3/17 15:17
CT,68,125,NA,NA,193,3/17 16:30,3/17 19:00
DC,22,104,0,NA,126,3/16 19:00,3/17 15:20
DE,16,36,NA,NA,52,3/16 11:40,3/17 16:22
FL,186,940,NA,6,1126,3/17 11:00,3/17 15:29
GA,146,NA,NA,1,146,3/17 12:00,3/17 15:29
GU,5,41,NA,NA,46,3/17 04:15,3/17 15:55
HI,10,NA,NA,NA,10,3/16 18:00,3/17 15:30
IA,23,83,NA,NA,106,3/17 00:00,3/17 15:31
ID,7,346,NA,NA,353,3/17 11:45,3/17 15:34
IL,160,1340,NA,1,1500,3/16 00:00,3/17 16:16
IN,30,129,NA,2,159,3/16 23:59,3/17 15:28
KS,15,382,NA,1,397,3/17 13:00,3/17 15:35
KY,26,354,NA,1,380,3/17 16:00,3/17 19:08
LA,196,335,NA,4,531,3/17 18:30,3/17 19:06
MA,218,1541,NA,NA,1759,3/16 16:00,3/17 16:19
MD,57,94,NA,NA,151,3/17 10:00,3/17 15:32
ME,32,1303,NA,NA,1335,3/17 12:00,3/17 15:32
MI,65,272,NA,NA,337,3/17 14:00,3/17 15:34
MN,60,2276,NA,NA,2336,3/17 00:00,3/17 15:34
MO,8,207,NA,0,215,3/16 20:00,3/17 15:35
MP,0,NA,NA,NA,0,3/17 01:30,3/17 15:58
MS,21,368,NA,NA,389,3/17 00:00,3/17 15:36
MT,8,303,0,NA,311,3/16 21:22,3/17 15:36
NC,40,474,NA,0,514,3/17 08:51,3/17 15:52
ND,3,220,0,0,223,3/17 00:00,3/17 15:41
NE,21,206,NA,NA,227,3/17 00:00,3/17 15:38
NH,17,355,195,NA,567,3/16 09:00,3/17 15:38
NJ,267,163,55,3,485,3/17 13:00,3/17 15:35
NM,23,1249,NA,NA,1272,3/17 00:00,3/17 15:25
NV,55,168,NA,1,223,3/17 15:00,3/17 15:25
NY,1700,5506,NA,12,7206,3/16 15:00,3/17 20:15
OH,67,140,NA,NA,207,3/17 15:00,3/17 16:04
OK,17,247,82,NA,346,3/17 09:15,3/17 15:55
OR,65,968,215,1,1248,3/17 12:00,3/17 20:21
PA,96,879,NA,NA,975,3/17 12:45,3/17 15:23
PR,5,13,4,NA,22,3/17 15:41,3/17 16:15
RI,21,308,149,NA,478,3/16 00:00,3/17 16:00
SC,47,409,NA,1,456,3/17 12:02,3/17 16:57
SD,11,551,35,NA,597,3/17 00:00,3/17 15:19
TN,73,330,NA,NA,403,3/17 15:00,3/17 16:04
TX,64,1204,NA,1,1268,3/17 13:00,3/17 15:17
UT,51,131,NA,0,182,3/17 14:45,3/17 15:15
VA,67,961,NA,1,1028,3/17 12:00,3/17 16:01
VI,2,NA,NA,NA,2,3/16 00:01,3/17 16:02
VT,10,495,NA,NA,505,3/17 13:00,3/17 15:14
WA,1012,13117,NA,52,14129,3/17 18:15,3/17 18:54
WI,72,1038,NA,NA,1110,3/17 15:00,3/17 15:12
WV,1,122,14,0,137,3/17 16:00,3/17 19:09
WY,10,95,NA,NA,105,3/17 00:00,3/17 16:12
