date,state,positive,negative,pending,death,total,dateChecked
20200317,OR,47,689,184,NA,920,2020-03-17T20:00:00Z
20200317,PA,96,879,NA,NA,975,2020-03-17T20:00:00Z
20200317,RI,21,308,149,NA,478,2020-03-17T20:00:00Z
20200317,SC,33,311,NA,1,344,2020-03-17T20:00:00Z
20200317,SD,11,551,35,NA,597,2020-03-17T20:00:00Z
20200317,TN,73,330,NA,NA,403,2020-03-17T20:00:00Z
20200317,TX,64,1204,NA,1,1268,2020-03-17T20:00:00Z
20200317,UT,51,131,NA,0,182,2020-03-17T20:00:00Z
20200317,VA,67,961,NA,1,1028,2020-03-17T20:00:00Z
20200317,VT,10,495,NA,NA,505,2020-03-17T20:00:00Z
20200317,WA,904,11582,NA,48,12486,2020-03-17T20:00:00Z
20200317,WI,72,1038,NA,NA,1110,2020-03-17T20:00:00Z
20200317,WV,0,80,4,0,84,2020-03-17T20:00:00Z
20200317,WY,10,95,NA,NA,105,2020-03-17T20:00:00Z
20200317,PR,5,13,4,NA,22,2020-03-17T20:00:00Z
20200317,VI,2,NA,NA,NA,2,2020-03-17T20:00:00Z
20200317,GU,5,41,NA,NA,46,2020-03-17T20:00:00Z
20200317,MP,0,NA,NA,NA,0,2020-03-17T20:00:00Z
20200317,AS,0,NA,NA,NA,0,2020-03-17T20:00:00Z
20200316,AK,1,143,NA,NA,144,2020-03-16T20:00:00Z
20200316,AL,28,28,40,0,96,2020-03-16T20:00:00Z
20200316,AR,22,132,14,NA,168,2020-03-16T20:00:00Z
20200316,AZ,18,182,63,0,263,2020-03-16T20:00:00Z
20200316,CA,335,7981,NA,6,8316,2020-03-16T20:00:00Z
20200316,CO,131,627,NA,1,758,2020-03-16T20:00:00Z
20200316,CT,26,125,NA,NA,151,2020-03-16T20:00:00Z
20200316,DC,17,96,7,NA,120,2020-03-16T20:00:00Z
20200316,DE,8,36,32,NA,76,2020-03-16T20:00:00Z
20200316,FL,141,684,514,4,1339,2020-03-16T20:00:00Z
20200316,GA,121,NA,NA,1,121,2020-03-16T20:00:00Z
20200316,HI,7,NA,NA,NA,7,2020-03-16T20:00:00Z
20200316,IA,22,83,NA,NA,105,2020-03-16T20:00:00Z
20200316,ID,5,265,NA,NA,270,2020-03-16T20:00:00Z
20200316,IL,93,932,NA,NA,1025,2020-03-16T20:00:00Z
20200316,IN,24,115,NA,1,139,2020-03-16T20:00:00Z
20200316,KS,11,166,NA,1,177,2020-03-16T20:00:00Z
20200316,KY,21,234,NA,1,255,2020-03-16T20:00:00Z
20200316,LA,114,188,NA,2,302,2020-03-16T20:00:00Z
20200316,MA,164,352,NA,NA,516,2020-03-16T20:00:00Z
20200316,MD,37,94,NA,NA,131,2020-03-16T20:00:00Z
20200316,ME,17,764,NA,NA,781,2020-03-16T20:00:00Z
20200316,MI,53,272,30,NA,355,2020-03-16T20:00:00Z
20200316,MN,54,1839,NA,NA,1893,2020-03-16T20:00:00Z
20200316,MO,6,164,NA,0,170,2020-03-16T20:00:00Z
20200316,MS,12,277,NA,NA,289,2020-03-16T20:00:00Z
20200316,MT,7,198,0,NA,205,2020-03-16T20:00:00Z
20200316,NC,33,296,151,0,480,2020-03-16T20:00:00Z
20200316,ND,1,123,0,0,124,2020-03-16T20:00:00Z
20200316,NE,18,170,NA,NA,188,2020-03-16T20:00:00Z
20200316,NH,13,271,95,NA,379,2020-03-16T20:00:00Z
20200316,NJ,178,20,20,2,218,2020-03-16T20:00:00Z
20200316,NM,17,566,NA,NA,583,2020-03-16T20:00:00Z
20200316,NV,45,168,NA,1,213,2020-03-16T20:00:00Z
20200316,NY,950,4322,NA,7,5272,2020-03-16T20:00:00Z
20200316,OH,50,140,361,NA,551,2020-03-16T20:00:00Z
20200316,OK,10,174,29,NA,213,2020-03-16T20:00:00Z
20200316,OR,39,579,182,NA,800,2020-03-16T20:00:00Z
20200316,PA,76,670,NA,NA,746,2020-03-16T20:00:00Z
20200316,RI,21,308,149,NA,478,2020-03-16T20:00:00Z
20200316,SC,28,235,NA,1,263,2020-03-16T20:00:00Z
20200316,SD,10,494,0,NA,504,2020-03-16T20:00:00Z
20200316,TN,52,270,NA,NA,322,2020-03-16T20:00:00Z
20200316,TX,57,NA,NA,NA,57,2020-03-16T20:00:00Z
20200316,UT,39,131,NA,0,170,2020-03-16T20:00:00Z
20200316,VA,51,438,NA,1,489,2020-03-16T20:00:00Z
20200316,VT,8,421,NA,NA,429,2020-03-16T20:00:00Z
20200316,WA,769,9451,NA,42,10220,2020-03-16T20:00:00Z
20200316,WI,47,504,NA,NA,551,2020-03-16T20:00:00Z
20200316,WV,0,80,4,0,84,2020-03-16T20:00:00Z
20200316,WY,3,NA,NA,NA,3,2020-03-16T20:00:00Z
20200316,PR,5,9,NA,NA,14,2020-03-16T20:00:00Z
20200316,VI,1,NA,NA,NA,1,2020-03-16T20:00:00Z
20200316,GU,3,23,NA,NA,26,2020-03-16T20:00:00Z
20200316,MP,0,NA,NA,NA,0,2020-03-16T20:00:00Z
20200316,AS,0,NA,NA,NA,0,2020-03-16T20:00:00Z
20200315,AK,1,143,NA,NA,144,2020-03-15T20:00:00Z
20200315,AL,12,28,46,0,86,2020-03-15T20:00:00Z
20200315,AR,16,103,30,NA,149,2020-03-15T20:00:00Z
20200315,AZ,12,121,50,0,183,2020-03-15T20:00:00Z
20200315,CA,293,916,NA,5,1209,2020-03-15T20:00:00Z
20200315,CO,131,627,NA,1,758,2020-03-15T20:00:00Z
20200315,CT,20,125,NA,NA,145,2020-03-15T20:00:00Z
20200315,DC,16,79,20,NA,115,2020-03-15T20:00:00Z
20200315,DE,6,36,32,NA,74,2020-03-15T20:00:00Z
20200315,FL,116,678,454,4,1248,2020-03-15T20:00:00Z
20200315,GA,99,NA,NA,1,99,2020-03-15T20:00:00Z
20200315,HI,2,NA,NA,NA,2,2020-03-15T20:00:00Z
20200315,IA,18,83,NA,NA,101,2020-03-15T20:00:00Z
20200315,ID,5,171,NA,NA,176,2020-03-15T20:00:00Z
20200315,IL,64,449,195,NA,708,2020-03-15T20:00:00Z
20200315,IN,19,102,NA,0,121,2020-03-15T20:00:00Z
20200315,KS,8,135,NA,1,143,2020-03-15T20:00:00Z
20200315,KY,16,139,NA,NA,155,2020-03-15T20:00:00Z
20200315,LA,91,156,NA,2,247,2020-03-15T20:00:00Z
20200315,MA,138,352,NA,NA,490,2020-03-15T20:00:00Z
20200315,MD,31,94,NA,NA,125,2020-03-15T20:00:00Z
20200315,ME,3,91,17,NA,111,2020-03-15T20:00:00Z
20200315,MI,33,205,26,NA,264,2020-03-15T20:00:00Z
20200315,MN,35,1387,NA,NA,1422,2020-03-15T20:00:00Z
20200315,MO,5,122,NA,0,127,2020-03-15T20:00:00Z
20200315,MS,10,84,NA,NA,94,2020-03-15T20:00:00Z
20200315,MT,7,103,57,NA,167,2020-03-15T20:00:00Z
20200315,NC,32,227,151,NA,410,2020-03-15T20:00:00Z
20200315,ND,1,95,4,0,100,2020-03-15T20:00:00Z
20200315,NE,17,80,33,NA,130,2020-03-15T20:00:00Z
20200315,NH,13,271,95,NA,379,2020-03-15T20:00:00Z
20200315,NJ,98,120,34,2,252,2020-03-15T20:00:00Z
20200315,NM,13,482,NA,NA,495,2020-03-15T20:00:00Z
20200315,NV,21,168,164,NA,353,2020-03-15T20:00:00Z
20200315,NY,729,4543,NA,3,5272,2020-03-15T20:00:00Z
20200315,OH,36,139,350,NA,525,2020-03-15T20:00:00Z
20200315,OK,9,118,12,NA,139,2020-03-15T20:00:00Z
20200315,OR,36,420,225,NA,681,2020-03-15T20:00:00Z
20200315,PA,63,205,183,NA,451,2020-03-15T20:00:00Z
20200315,RI,20,198,57,NA,275,2020-03-15T20:00:00Z
20200315,SC,19,154,NA,NA,173,2020-03-15T20:00:00Z
20200315,SD,9,327,6,NA,342,2020-03-15T20:00:00Z
20200315,TN,39,157,NA,NA,196,2020-03-15T20:00:00Z
20200315,TX,56,NA,NA,NA,56,2020-03-15T20:00:00Z
20200315,UT,28,131,NA,0,159,2020-03-15T20:00:00Z
20200315,VA,45,363,NA,1,408,2020-03-15T20:00:00Z
20200315,VT,4,348,NA,NA,352,2020-03-15T20:00:00Z
20200315,WA,642,7122,NA,40,7764,2020-03-15T20:00:00Z
20200315,WI,33,313,NA,NA,346,2020-03-15T20:00:00Z
20200315,WV,0,38,1,0,39,2020-03-15T20:00:00Z
20200315,WY,3,NA,NA,NA,3,2020-03-15T20:00:00Z
20200314,AK,1,143,NA,NA,144,2020-03-14T20:00:00Z
20200314,AL,6,22,46,NA,74,2020-03-14T20:00:00Z
20200314,AR,12,65,26,NA,103,2020-03-14T20:00:00Z
20200314,AZ,12,121,50,0,183,2020-03-14T20:00:00Z
20200314,CA,252,916,NA,5,1168,2020-03-14T20:00:00Z
20200314,CO,101,712,NA,1,814,2020-03-14T20:00:00Z
20200314,CT,11,125,NA,NA,136,2020-03-14T20:00:00Z
20200314,DC,10,49,10,NA,69,2020-03-14T20:00:00Z
20200314,DE,6,36,32,NA,74,2020-03-14T20:00:00Z
20200314,FL,77,478,221,3,776,2020-03-14T20:00:00Z
20200314,GA,66,NA,NA,1,66,2020-03-14T20:00:00Z
20200314,HI,2,NA,NA,NA,2,2020-03-14T20:00:00Z
20200314,IA,17,83,NA,NA,100,2020-03-14T20:00:00Z
20200314,ID,2,174,NA,NA,176,2020-03-14T20:00:00Z
