date,state,positive,negative,pending,death,total,dateChecked
20200310,OR,15,213,67,NA,295,2020-03-10T20:00:00Z
20200310,PA,12,NA,NA,NA,NA,2020-03-10T20:00:00Z
20200310,RI,3,53,6,NA,62,2020-03-10T20:00:00Z
20200310,SC,7,24,NA,NA,31,2020-03-10T20:00:00Z
20200310,SD,0,11,0,NA,11,2020-03-10T20:00:00Z
20200310,TN,7,NA,NA,NA,7,2020-03-10T20:00:00Z
20200310,TX,13,NA,NA,NA,13,2020-03-10T20:00:00Z
20200310,UT,2,NA,NA,NA,2,2020-03-10T20:00:00Z
20200310,VA,8,53,NA,NA,NA,2020-03-10T20:00:00Z
20200310,VT,1,40,NA,NA,41,2020-03-10T20:00:00Z
20200310,WA,162,1110,NA,NA,1272,2020-03-10T20:00:00Z
20200310,WI,2,36,NA,NA,38,2020-03-10T20:00:00Z
20200310,WV,0,2,3,NA,5,2020-03-10T20:00:00Z
20200310,WY,0,0,0,NA,0,2020-03-10T20:00:00Z
20200309,AK,0,23,9,NA,32,2020-03-09T20:00:00Z
20200309,AL,0,NA,NA,NA,0,2020-03-09T20:00:00Z
20200309,AR,0,12,0,NA,12,2020-03-09T20:00:00Z
20200309,AZ,5,44,7,NA,56,2020-03-09T20:00:00Z
20200309,CA,114,690,NA,NA,804,2020-03-09T20:00:00Z
20200309,CO,9,266,NA,NA,275,2020-03-09T20:00:00Z
20200309,CT,1,46,NA,NA,47,2020-03-09T20:00:00Z
20200309,DC,1,14,3,NA,18,2020-03-09T20:00:00Z
20200309,DE,0,15,3,NA,18,2020-03-09T20:00:00Z
20200309,FL,18,140,115,NA,273,2020-03-09T20:00:00Z
20200309,GA,12,NA,NA,NA,12,2020-03-09T20:00:00Z
20200309,HI,2,NA,NA,NA,2,2020-03-09T20:00:00Z
20200309,IA,3,26,8,NA,37,2020-03-09T20:00:00Z
20200309,ID,0,41,NA,NA,41,2020-03-09T20:00:00Z
20200309,IL,7,191,44,NA,242,2020-03-09T20:00:00Z
20200309,IN,2,NA,NA,NA,2,2020-03-09T20:00:00Z
20200309,KS,1,11,0,NA,12,2020-03-09T20:00:00Z
20200309,KY,4,17,NA,NA,21,2020-03-09T20:00:00Z
20200309,LA,1,5,NA,NA,6,2020-03-09T20:00:00Z
20200309,MA,41,NA,NA,NA,41,2020-03-09T20:00:00Z
20200309,MD,5,73,NA,NA,78,2020-03-09T20:00:00Z
20200309,ME,0,1,NA,NA,1,2020-03-09T20:00:00Z
20200309,MI,0,36,11,NA,47,2020-03-09T20:00:00Z
20200309,MN,2,80,NA,NA,82,2020-03-09T20:00:00Z
20200309,MO,1,NA,NA,NA,1,2020-03-09T20:00:00Z
20200309,MS,0,NA,NA,NA,0,2020-03-09T20:00:00Z
20200309,MT,0,11,0,NA,11,2020-03-09T20:00:00Z
20200309,NC,2,NA,NA,NA,2,2020-03-09T20:00:00Z
20200309,ND,0,0,NA,NA,0,2020-03-09T20:00:00Z
20200309,NE,3,36,9,NA,48,2020-03-09T20:00:00Z
20200309,NH,4,38,5,NA,47,2020-03-09T20:00:00Z
20200309,NJ,11,35,14,NA,60,2020-03-09T20:00:00Z
20200309,NM,0,57,0,NA,57,2020-03-09T20:00:00Z
20200309,NV,1,14,NA,NA,15,2020-03-09T20:00:00Z
20200309,NY,142,92,NA,NA,234,2020-03-09T20:00:00Z
20200309,OH,3,11,5,NA,19,2020-03-09T20:00:00Z
20200309,OK,1,8,10,NA,19,2020-03-09T20:00:00Z
20200309,OR,14,165,52,NA,231,2020-03-09T20:00:00Z
20200309,PA,7,NA,NA,NA,7,2020-03-09T20:00:00Z
20200309,RI,3,53,6,NA,62,2020-03-09T20:00:00Z
20200309,SC,7,24,NA,NA,31,2020-03-09T20:00:00Z
20200309,SD,0,5,0,NA,5,2020-03-09T20:00:00Z
20200309,TN,3,NA,NA,NA,3,2020-03-09T20:00:00Z
20200309,TX,12,NA,NA,NA,12,2020-03-09T20:00:00Z
20200309,UT,1,NA,NA,NA,1,2020-03-09T20:00:00Z
20200309,VA,3,38,9,NA,50,2020-03-09T20:00:00Z
20200309,VT,1,34,NA,NA,35,2020-03-09T20:00:00Z
20200309,WA,136,1110,NA,NA,1246,2020-03-09T20:00:00Z
20200309,WI,1,36,NA,NA,37,2020-03-09T20:00:00Z
20200309,WV,0,2,3,NA,5,2020-03-09T20:00:00Z
20200309,WY,0,NA,NA,NA,0,2020-03-09T20:00:00Z
20200308,NY,105,92,NA,NA,197,2020-03-08T21:00:00Z
20200308,WA,102,640,60,NA,802,2020-03-08T21:00:00Z
20200308,CA,88,462,NA,NA,550,2020-03-08T21:00:00Z
20200308,FL,17,118,108,NA,243,2020-03-08T21:00:00Z
20200308,OR,14,100,53,NA,167,2020-03-08T21:00:00Z
20200308,MA,13,NA,NA,NA,13,2020-03-08T21:00:00Z
20200308,CO,8,208,NA,NA,216,2020-03-08T21:00:00Z
20200308,TX,8,NA,NA,NA,8,2020-03-08T21:00:00Z
20200308,GA,7,NA,NA,NA,7,2020-03-08T21:00:00Z
20200308,IL,6,191,44,NA,241,2020-03-08T21:00:00Z
20200308,NJ,6,31,0,NA,37,2020-03-08T21:00:00Z
20200308,AZ,5,44,7,NA,56,2020-03-08T21:00:00Z
20200308,NH,4,38,5,NA,47,2020-03-08T21:00:00Z
20200308,PA,4,NA,NA,NA,4,2020-03-08T21:00:00Z
20200308,MD,3,52,NA,NA,55,2020-03-08T21:00:00Z
20200308,RI,3,30,12,NA,45,2020-03-08T21:00:00Z
20200308,TN,3,NA,NA,NA,3,2020-03-08T21:00:00Z
20200308,VA,2,36,6,NA,44,2020-03-08T21:00:00Z
20200308,SC,2,8,NA,NA,10,2020-03-08T21:00:00Z
20200308,IN,2,NA,NA,NA,2,2020-03-08T21:00:00Z
20200308,NC,2,NA,NA,NA,2,2020-03-08T21:00:00Z
20200308,MN,1,48,NA,NA,49,2020-03-08T21:00:00Z
20200308,WI,1,31,12,NA,44,2020-03-08T21:00:00Z
20200308,CT,1,29,8,NA,38,2020-03-08T21:00:00Z
20200308,VT,1,28,NA,NA,29,2020-03-08T21:00:00Z
20200308,NE,1,17,5,NA,23,2020-03-08T21:00:00Z
20200308,NV,1,14,NA,NA,15,2020-03-08T21:00:00Z
20200308,KY,1,13,NA,NA,14,2020-03-08T21:00:00Z
20200308,KS,1,11,0,NA,12,2020-03-08T21:00:00Z
20200308,DC,1,10,0,NA,11,2020-03-08T21:00:00Z
20200308,OK,1,8,2,NA,11,2020-03-08T21:00:00Z
20200308,HI,1,NA,NA,NA,1,2020-03-08T21:00:00Z
20200308,MO,1,NA,NA,NA,1,2020-03-08T21:00:00Z
20200308,UT,1,NA,NA,NA,1,2020-03-08T21:00:00Z
20200308,NM,0,46,0,NA,46,2020-03-08T21:00:00Z
20200308,MI,0,26,10,NA,36,2020-03-08T21:00:00Z
20200308,ID,0,27,NA,NA,27,2020-03-08T21:00:00Z
20200308,AK,0,14,6,NA,20,2020-03-08T21:00:00Z
20200308,IA,0,15,2,NA,17,2020-03-08T21:00:00Z
20200308,OH,0,10,4,NA,14,2020-03-08T21:00:00Z
20200308,MT,0,11,NA,NA,11,2020-03-08T21:00:00Z
20200308,DE,0,10,0,NA,10,2020-03-08T21:00:00Z
20200308,AR,0,6,0,NA,6,2020-03-08T21:00:00Z
20200308,LA,0,5,NA,NA,5,2020-03-08T21:00:00Z
20200308,SD,0,5,0,NA,5,2020-03-08T21:00:00Z
20200308,WV,0,2,3,NA,5,2020-03-08T21:00:00Z
20200308,ME,0,1,NA,NA,1,2020-03-08T21:00:00Z
20200308,AL,0,NA,NA,NA,0,2020-03-08T21:00:00Z
20200308,MS,0,NA,NA,NA,0,2020-03-08T21:00:00Z
20200308,ND,0,0,NA,NA,0,2020-03-08T21:00:00Z
20200308,WY,0,NA,NA,NA,0,2020-03-08T21:00:00Z
20200307,WA,102,370,66,NA,538,2020-03-07T21:00:00Z
20200307,NY,76,92,236,NA,404,2020-03-07T21:00:00Z
20200307,CA,69,462,NA,NA,531,2020-03-07T21:00:00Z
20200307,FL,14,100,88,NA,202,2020-03-07T21:00:00Z
20200307,MA,13,NA,NA,NA,13,2020-03-07T21:00:00Z
20200307,CO,8,109,69,NA,186,2020-03-07T21:00:00Z
20200307,TX,8,NA,NA,NA,8,2020-03-07T21:00:00Z
20200307,OR,7,77,40,NA,124,2020-03-07T21:00:00Z
20200307,IL,6,191,44,NA,241,2020-03-07T21:00:00Z
20200307,GA,6,NA,NA,NA,6,2020-03-07T21:00:00Z
20200307,AZ,5,44,7,NA,56,2020-03-07T21:00:00Z
20200307,NJ,4,NA,1,NA,5,2020-03-07T21:00:00Z
20200307,MD,3,41,NA,NA,44,2020-03-07T21:00:00Z
20200307,NH,2,20,3,NA,25,2020-03-07T21:00:00Z
20200307,SC,2,8,NA,NA,10,2020-03-07T21:00:00Z
20200307,NC,2,NA,NA,NA,2,2020-03-07T21:00:00Z
20200307,PA,2,NA,NA,NA,2,2020-03-07T21:00:00Z
20200307,RI,2,NA,NA,NA,2,2020-03-07T21:00:00Z
20200307,MN,1,48,NA,NA,49,2020-03-07T21:00:00Z
20200307,WI,1,31,12,NA,44,2020-03-07T21:00:00Z
20200307,NE,1,17,5,NA,23,2020-03-07T21:00:00Z
20200307,NV,1,14,NA,NA,15,2020-03-07T21:00:00Z
20200307,KY,1,9,NA,NA,10,2020-03-07T21:00:00Z
20200307,HI,1,NA,NA,NA,1,2020-03-07T21:00:00Z
20200307,IN,1,NA,NA,NA,1,2020-03-07T21:00:00Z
20200307,OK,1,NA,NA,NA,1,2020-03-07T21:00:00Z
20200307,TN,1,NA,NA,NA,1,2020-03-07T21:00:00Z
20200307,UT,1,NA,NA,NA,1,2020-03-07T21:00:00Z
20200307,NM,0,48,0,NA,48,2020-03-07T21:00:00Z
20200307,VA,0,31,7,NA,38,2020-03-07T21:00:00Z
20200307,ID,0,27,NA,NA,27,2020-03-07T21:00:00Z
20200307,MI,0,18,9,NA,27,2020-03-07T21:00:00Z
20200307,IA,0,15,2,NA,17,2020-03-07T21:00:00Z
20200307,VT,0,16,NA,NA,16,2020-03-07T21:00:00Z
20200307,AK,0,12,2,NA,14,2020-03-07T21:00:00Z
20200307,OH,0,9,5,NA,14,2020-03-07T21:00:00Z
20200307,KS,0,11,2,NA,13,2020-03-07T21:00:00Z
20200307,MT,0,11,NA,NA,11,2020-03-07T21:00:00Z
20200307,DE,0,10,0,NA,10,2020-03-07T21:00:00Z
20200307,DC,0,8,1,NA,9,2020-03-07T21:00:00Z
20200307,AR,0,6,0,NA,6,2020-03-07T21:00:00Z
20200307,SD,0,5,0,NA,5,2020-03-07T21:00:00Z
20200307,WV,0,2,3,NA,5,2020-03-07T21:00:00Z
20200307,ME,0,1,NA,NA,1,2020-03-07T21:00:00Z
20200307,LA,0,NA,NA,NA,0,2020-03-07T21:00:00Z
20200307,MO,0,NA,NA,NA,0,2020-03-07T21:00:00Z
20200307,MS,0,NA,NA,NA,0,2020-03-07T21:00:00Z
20200307,ND,0,0,NA,NA,0,2020-03-07T21:00:00Z
20200307,WY,0,NA,NA,NA,0,2020-03-07T21:00:00Z
20200307,AL,NA,NA,NA,NA,0,2020-03-07T21:00:00Z
20200307,CT,NA,NA,NA,NA,0,2020-03-07T21:00:00Z
20200306,WA,79,370,NA,NA,449,2020-03-06T21:00:00Z
20200306,CA,60,462,NA,NA,522,2020-03-06T21:00:00Z
20200306,NY,33,92,236,NA,361,2020-03-06T21:00:00Z
20200306,FL,9,55,51,NA,115,2020-03-06T21:00:00Z
20200306,MA,8,NA,NA,NA,8,2020-03-06T21:00:00Z
20200306,IL,5,180,35,NA,220,2020-03-06T21:00:00Z
20200306,TX,5,NA,NA,NA,5,2020-03-06T21:00:00Z
20200306,AZ,3,33,15,NA,51,2020-03-06T21:00:00Z
20200306,MD,3,26,12,NA,41,2020-03-06T21:00:00Z
20200306,OR,3,64,28,NA,95,2020-03-06T21:00:00Z
20200306,CO,2,92,30,NA,124,2020-03-06T21:00:00Z
20200306,GA,2,NA,NA,NA,2,2020-03-06T21:00:00Z
20200306,NC,2,NA,NA,NA,2,2020-03-06T21:00:00Z
20200306,NH,2,20,3,NA,25,2020-03-06T21:00:00Z
20200306,PA,2,NA,NA,NA,2,2020-03-06T21:00:00Z
20200306,IN,1,NA,NA,NA,1,2020-03-06T21:00:00Z
20200306,NJ,1,NA,NA,NA,1,2020-03-06T21:00:00Z
20200306,NV,1,14,NA,NA,15,2020-03-06T21:00:00Z
20200306,TN,1,NA,NA,NA,1,2020-03-06T21:00:00Z
20200306,WI,1,31,12,NA,44,2020-03-06T21:00:00Z
20200306,AK,0,8,1,NA,9,2020-03-06T21:00:00Z
20200306,AR,0,6,0,NA,6,2020-03-06T21:00:00Z
20200306,DC,0,8,1,NA,9,2020-03-06T21:00:00Z
20200306,DE,0,10,0,NA,10,2020-03-06T21:00:00Z
20200306,IA,0,15,2,NA,17,2020-03-06T21:00:00Z
20200306,KS,0,4,0,NA,4,2020-03-06T21:00:00Z
20200306,KY,0,7,3,NA,10,2020-03-06T21:00:00Z
20200306,MI,0,8,8,NA,16,2020-03-06T21:00:00Z
20200306,MN,0,36,NA,NA,36,2020-03-06T21:00:00Z
20200306,NE,0,17,5,NA,22,2020-03-06T21:00:00Z
20200306,NM,0,16,0,NA,16,2020-03-06T21:00:00Z
20200306,OH,0,8,2,NA,10,2020-03-06T21:00:00Z
20200306,SC,0,5,0,NA,5,2020-03-06T21:00:00Z
20200306,VA,0,21,10,NA,31,2020-03-06T21:00:00Z
20200306,VT,0,8,NA,NA,8,2020-03-06T21:00:00Z
20200306,WV,0,1,4,NA,5,2020-03-06T21:00:00Z
20200305,WA,70,NA,NA,NA,70,2020-03-05T21:00:00Z
20200305,CA,53,462,NA,NA,515,2020-03-05T21:00:00Z
20200305,NY,22,76,24,NA,122,2020-03-05T21:00:00Z
20200305,FL,9,31,69,NA,109,2020-03-05T21:00:00Z
20200305,IL,5,165,27,NA,197,2020-03-05T21:00:00Z
20200305,OR,3,45,13,NA,61,2020-03-05T21:00:00Z
20200305,AZ,2,28,6,NA,36,2020-03-05T21:00:00Z
20200305,GA,2,NA,NA,NA,2,2020-03-05T21:00:00Z
20200305,MA,2,NA,NA,NA,2,2020-03-05T21:00:00Z
20200305,NH,2,16,4,NA,22,2020-03-05T21:00:00Z
20200305,NC,1,NA,NA,NA,1,2020-03-05T21:00:00Z
20200305,NJ,1,NA,NA,NA,1,2020-03-05T21:00:00Z
20200305,NV,1,14,NA,NA,15,2020-03-05T21:00:00Z
20200305,TN,1,NA,NA,NA,1,2020-03-05T21:00:00Z
20200305,TX,1,NA,NA,NA,1,2020-03-05T21:00:00Z
20200305,WI,1,19,6,NA,26,2020-03-05T21:00:00Z
20200305,CO,0,37,21,NA,58,2020-03-05T21:00:00Z
20200305,DC,0,6,2,NA,8,2020-03-05T21:00:00Z
20200305,MI,0,8,0,NA,8,2020-03-05T21:00:00Z
20200305,NE,0,17,5,NA,22,2020-03-05T21:00:00Z
20200305,OH,0,7,3,NA,10,2020-03-05T21:00:00Z
20200305,SC,0,5,0,NA,5,2020-03-05T21:00:00Z
20200305,VA,0,18,3,NA,21,2020-03-05T21:00:00Z
20200305,MD,0,17,14,NA,31,2020-03-05T21:00:00Z
20200304,AZ,2,27,5,NA,34,2020-03-04T21:00:00Z
20200304,CA,53,462,NA,NA,515,2020-03-04T21:00:00Z
20200304,FL,2,24,16,NA,42,2020-03-04T21:00:00Z
20200304,GA,2,NA,NA,NA,2,2020-03-04T21:00:00Z
20200304,IL,4,124,27,NA,155,2020-03-04T21:00:00Z
20200304,MA,2,NA,NA,NA,2,2020-03-04T21:00:00Z
20200304,NC,1,NA,NA,NA,1,2020-03-04T21:00:00Z
20200304,NH,2,10,7,NA,19,2020-03-04T21:00:00Z
20200304,NY,6,48,24,NA,78,2020-03-04T21:00:00Z
20200304,OR,3,29,18,NA,50,2020-03-04T21:00:00Z
20200304,SC,0,5,0,NA,5,2020-03-04T21:00:00Z
20200304,TX,1,NA,NA,NA,1,2020-03-04T21:00:00Z
20200304,WA,39,NA,NA,NA,39,2020-03-04T21:00:00Z
20200304,WI,1,19,6,NA,26,2020-03-04T21:00:00Z
