Time,Valle d'Aosta,Liguria,Piemonte,Lombardia,Veneto,Trentino-Alto Adige,ST,Friuli-Venezia Giulia,Emilia-Romagna,Marche,Toscana,Umbria,Lazio,Abruzzo,Molise,Campania,Basilicata,Apulia,Calabria,Sicily,Sardegna,Sum,Total death
2020-1-31,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0
2020-2-1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0
2020-2-2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0
2020-2-3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0
2020-2-4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0
2020-2-5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0
2020-2-6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0
2020-2-7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0
2020-2-8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0
2020-2-9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0
2020-2-10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0
2020-2-11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0
2020-2-12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0
2020-2-13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0
2020-2-14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0
2020-2-15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0
2020-2-16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0
2020-2-17,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0
2020-2-18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0
2020-2-19,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0
2020-2-20,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0
2020-2-21,0,0,0,15,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,20,0
2020-2-22,0,0,1,55,18,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,79,5
2020-2-23,0,0,1,112,25,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,150,2
2020-2-24,0,0,1,173,32,0,0,0,18,0,2,0,3,0,0,0,0,0,0,0,0,227,6
2020-2-25,0,1,1,240,43,0,1,0,26,0,2,0,3,0,0,0,0,0,0,3,0,320,11
2020-2-26,0,11,1,305,71,0,1,0,47,1,2,0,3,1,0,0,0,1,0,3,0,445,12
2020-2-27,0,19,2,403,111,0,1,0,97,3,2,0,3,1,0,3,0,1,1,4,0,650,17
2020-2-28,0,19,11,531,151,0,1,0,145,6,8,0,3,1,0,4,0,3,1,4,0,888,21
2020-2-29,0,42,11,615,191,0,1,0,217,11,11,0,6,2,0,13,0,3,1,4,0,1128,29
2020-3-1,0,25,49,984,263,0,1,6,285,25,13,2,6,5,0,17,0,3,1,9,0,1694,35
2020-3-2,0,22,51,1254,273,0,1,9,335,35,13,2,7,5,0,17,1,4,1,7,1,2036,52
2020-3-3,0,24,56,1520,307,4,1,13,420,61,19,8,14,6,3,30,1,6,1,7,1,2502,80
2020-3-4,0,26,82,1820,360,5,1,18,544,84,38,9,30,7,3,31,1,9,1,18,2,3089,107
2020-3-5,2,28,108,2251,407,7,1,21,698,124,61,9,44,8,7,45,1,14,2,18,2,3858,148
2020-3-6,7,32,143,2612,488,10,4,31,870,159,79,16,54,9,12,57,3,17,4,24,5,4636,197
2020-3-7,8,51,207,3420,543,14,9,42,1010,207,113,24,76,11,12,61,3,26,4,35,5,5883,233
2020-3-8,9,78,360,4189,670,23,9,57,1216,272,166,26,87,17,12,101,4,40,9,53,11,7375,366
2020-3-9,15,109,350,5469,744,33,9,93,1386,323,208,28,102,30,14,120,5,50,11,54,19,9172,463
