,,,North-West,,,,North-East,,,,,Centre,,,,South,,,,,,Islands,,,
Date,Total,New,VDA,LIG,PIE,LOM,VEN,TRE,ST,FVG,EMR,MAR,TOS,UMB,LAZ,ABR,MOL,CAM,BAS,PUG,CAL,SIC,SAR,,Total death
2020-1-31,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,
2020-2-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,
2020-2-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,
2020-2-3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,
2020-2-4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,
2020-2-5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,
2020-2-6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,
2020-2-7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,
2020-2-8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,
2020-2-9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,
2020-2-10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,
2020-2-11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,
2020-2-12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,
2020-2-13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,
2020-2-14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,
2020-2-15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,
2020-2-16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,
2020-2-17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,
2020-2-18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,
2020-2-19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,
2020-2-20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,
2020-2-21,20,17,0,0,0,15,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,
2020-2-22,79,59,0,0,1,55,18,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,,5
2020-2-23,150,71,0,0,1,112,25,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,,2
2020-2-24,227,77,0,0,1,173,32,0,0,0,18,0,2,0,3,0,0,0,0,0,0,0,0,,6
2020-2-25,320,93,0,1,1,240,43,0,1,0,26,0,2,0,3,0,0,0,0,0,0,3,0,,11
2020-2-26,445,125,0,11,1,305,71,0,1,0,47,1,2,0,3,1,0,0,0,1,0,3,0,,12
2020-2-27,650,205,0,19,2,403,111,0,1,0,97,3,2,0,3,1,0,3,0,1,1,4,0,,17
2020-2-28,888,238,0,19,11,531,151,0,1,0,145,6,8,0,3,1,0,4,0,3,1,4,0,,21
2020-2-29,1128,240,0,42,11,615,191,0,1,0,217,11,11,0,6,2,0,13,0,3,1,4,0,,29
2020-3-1,1694,566,0,25,49,984,263,0,1,6,285,25,13,2,6,5,0,17,0,3,1,9,0,,35
2020-3-2,2036,342,0,22,51,1254,273,0,1,9,335,35,13,2,7,5,0,17,1,4,1,7,1,,52
2020-3-3,2502,466,0,24,56,1520,307,4,1,13,420,61,19,8,14,6,3,30,1,6,1,7,1,,80
2020-3-4,3089,587,0,26,82,1820,360,5,1,18,544,84,38,9,30,7,3,31,1,9,1,18,2,,107
2020-3-5,3858,769,2,28,108,2251,407,7,1,21,698,124,61,9,44,8,7,45,1,14,2,18,2,,148
2020-3-6,4636,778,7,32,143,2612,488,10,4,31,870,159,79,16,54,9,12,57,3,17,4,24,5,,197
2020-3-7,5883,1246,8,51,207,3420,543,14,9,42,1010,207,113,24,76,11,12,61,3,26,4,35,5,,233
2020-3-8,7375,1492,9,78,360,4189,670,23,9,57,1216,272,166,26,87,17,12,101,4,40,9,53,11,,366
2020-3-9,9172,1797,15,109,350,5469,744,33,9,93,1386,323,208,28,102,30,14,120,5,50,11,54,19,,463
