Date,RO - Rondônia,AM - Amazonas,PA - Pará,MA - Maranhão,PI - Piauí,CE - Ceará,RN - Rio Grande do Norte,PB - Paraíba,PE - Pernambuco,AL - Alagoas,SE - Sergipe,BA - Bahia,MG - Minas Gerais,ES - Espírito Santo,RJ - Rio de Janeiro,SP - São Paulo,PR - Paraná,SC - Santa Catarina,RS - Rio Grande do Sul,MS - Mato Grosso do Sul,MT - Mato Grosso,GO - Goiás,DF - Distrito Federal
3/5/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0
3/6/2020,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,10,0,0,0,0,0,0,0
3/8/2020,0,0,0,0,0,0,0,0,0,1,0,2,1,1,3,16,0,0,0,0,0,0,1
3/9,0,0,0,0,0,0,0,0,0,1,0,2,1,1,3,16,0,0,0,0,0,0,1
3/10,0,0,0,0,0,0,0,0,0,1,0,2,1,1,8,19,0,0,1,0,0,0,1
3/11/2020,,,,,,,,,,,,,,,,,,,,,,,
