,Andalucia,Aragón,Asturias,Balearic Islands,Basque Country,Canary Islands,Cantabria,Castilla-La Mancha,Castile and Leon,Catalonia,Extremadura,Galicia,Madrid,Murcia,Navarre,La Rioja,Valencian Community,Sum,New
current level,2,1,1,1,3,2,2,2,2,2,1,1,3,1,1,3,2,,
1-30,,,,,,,,,,,,,,,,,,0,
1-31,,,,,,,,,,,,,,,,,,1,1
2-1,,,,,,,,,,,,,,,,,,1,0
2-2,,,,,,,,,,,,,,,,,,1,0
2-3,,,,,,,,,,,,,,,,,,1,0
2-4,,,,,,,,,,,,,,,,,,1,0
2-5,,,,,,,,,,,,,,,,,,1,0
2-6,,,,,,,,,,,,,,,,,,1,0
2-7,,,,,,,,,,,,,,,,,,1,0
2-8,,,,,,,,,,,,,,,,,,1,0
2-9,,,,,,,,,,,,,,,,,,2,1
2-10,,,,,,,,,,,,,,,,,,2,0
2-11,,,,,,,,,,,,,,,,,,2,0
2-12,,,,,,,,,,,,,,,,,,2,0
2-13,,,,,,,,,,,,,,,,,,3,1
2-14,,,,,,,,,,,,,,,,,,3,0
2-15,,,,,,,,,,,,,,,,,,3,0
2-16,,,,,,,,,,,,,,,,,,3,0
2-17,,,,,,,,,,,,,,,,,,3,0
2-18,,,,,,,,,,,,,,,,,,3,0
2-19,,,,,,,,,,,,,,,,,,3,0
2-20,,,,,,,,,,,,,,,,,,3,0
2-21,,,,,,,,,,,,,,,,,,3,0
2-22,,,,,,,,,,,,,,,,,,3,0
2-23,,,,,,,,,,,,,,,,,,3,0
2-24,,,,,,,,,,,,,,,,,,3,0
2-25,,,,,,,,,,,,,,,,,,8,5
2-26,,,,,,,,,,,,,,,,,,14,6
2-27,,,,,,,,,,,,,,,,,,26,12
2-28,,,,,,,,,,,,,,,,,,45,19
2-29,,,,,,,,,,,,,,,,,,59,14
3-1,,,,,,,,,,,,,,,,,,84,25
3-2,,,,,,,,,,,,,,,,,,125,41
3-3,,,,,,,,,,,,,,,,,,169,44
3-4,13,0,2,5,17,7,10,12,11,15,6,1,70,0,3,7,19,228,59
3-5,12,1,5,6,17,8,10,13,11,24,6,1,90,0,3,11,19,285,57
3-6,22,9,7,7,46,16,11,12,14,37,6,4,137,0,3,38,32,401,116
3-7,34,11,7,8,70,17,12,15,21,49,6,4,175,0,3,47,37,516,115
3-8,39,19,8,8,102,20,12,21,30,78,6,6,202,1,6,70,42,670,154
3-9,54,32,10,11,149,22,12,26,33,101,7,19,577,5,3,102,48,1211,541
3-10,71,38,28,13,195,25,12,39,56,124,8,22,782,9,12,155,50,1639,
