Date Announced,Aisén del G. Carlos Ibáñez del Campo.,Antofagasta.,Arica y Parinacota.,Atacama.,Biobío.,Coquimbo.,La Araucanía.,Libertador General Bernardo O'Higgins.,Los Lagos.,Los Ríos.,Magallanes y de la Antártica Chilena.,Maule.,Metropolitana de Santiago.,Ñuble.,Tarapacá.,Valparaíso.
3/3/2020,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4/3/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5/3/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6/3/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7/3/2020,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
8/3/2020,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
9/3/2020,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
