Date Announced,Announced,#N/A,Aichi,Akita,Chiba,Ehime,Fukuoka,Fukushima,Gifu,Gunma,Hiroshima,Hokkaido,Hyogo,Ishikawa,Kanagawa,Kochi,Kumamoto,Kyoto,Mie,Miyagi,Miyazaki,Nagano,Nara,Niigata,Oita,Okinawa,Osaka,Saitama,Shiga,Shizuoka,Tochigi,Tokushima,Tokyo,Unspecified,Wakayama,Yamaguchi,SUM
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,
#N/A,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8
2020-01-15,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9
2020-01-24,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10
2020-01-25,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,11
2020-01-26,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,12
2020-01-28,6,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,15
2020-01-29,6,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,16
2020-01-30,6,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,5,1,0,0,0,20
2020-01-31,6,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,5,1,0,0,0,21
2020-02-01,6,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,5,4,0,0,0,24
2020-02-04,6,2,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,6,5,0,0,0,27
2020-02-05,6,2,0,3,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,6,6,0,0,0,30
2020-02-08,6,2,0,3,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,6,7,0,0,0,31
2020-02-10,6,2,0,3,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,6,9,0,0,0,33
2020-02-11,6,2,0,3,0,0,0,0,0,0,1,0,0,2,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,6,9,0,0,0,34
2020-02-12,6,2,0,3,0,0,0,0,0,0,1,0,0,2,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,7,9,0,0,0,35
