Municipality,GGD-region?,Count,Reference date,Fetch date
Aalsmeer,358,3,14:00 15.3,15.3.2020
Albrandswaard,613,1,14:00 15.3,15.3.2020
Alkmaar,361,1,14:00 15.3,15.3.2020
Almelo,141,1,14:00 15.3,15.3.2020
Almere,34,2,14:00 15.3,15.3.2020
Alphen aan den Rijn,484,6,14:00 15.3,15.3.2020
Alphen-Chaam,1723,1,14:00 15.3,15.3.2020
Altena,1959,10,14:00 15.3,15.3.2020
Amersfoort,307,10,14:00 15.3,15.3.2020
Amstelveen,362,3,14:00 15.3,15.3.2020
Amsterdam,363,31,14:00 15.3,15.3.2020
Apeldoorn,200,3,14:00 15.3,15.3.2020
Arnhem,202,7,14:00 15.3,15.3.2020
Asten,743,1,14:00 15.3,15.3.2020
Barendrecht,489,3,14:00 15.3,15.3.2020
Barneveld,203,2,14:00 15.3,15.3.2020
Beek,888,3,14:00 15.3,15.3.2020
Beekdaelen,1954,12,14:00 15.3,15.3.2020
Berg en Dal,1945,6,14:00 15.3,15.3.2020
Bergeijk,1724,1,14:00 15.3,15.3.2020
Bergen (NH.),373,1,14:00 15.3,15.3.2020
Bergen op Zoom,748,4,14:00 15.3,15.3.2020
Bernheze,1721,16,14:00 15.3,15.3.2020
Best,753,3,14:00 15.3,15.3.2020
Beuningen,209,4,14:00 15.3,15.3.2020
Beverwijk,375,5,14:00 15.3,15.3.2020
Bladel,1728,1,14:00 15.3,15.3.2020
Blaricum,376,1,14:00 15.3,15.3.2020
Bloemendaal,377,1,14:00 15.3,15.3.2020
Bodegraven-Reeuwijk,1901,1,14:00 15.3,15.3.2020
Boekel,755,12,14:00 15.3,15.3.2020
Borne,147,3,14:00 15.3,15.3.2020
Borsele,654,1,14:00 15.3,15.3.2020
Boxmeer,756,1,14:00 15.3,15.3.2020
Boxtel,757,2,14:00 15.3,15.3.2020
Breda,758,71,14:00 15.3,15.3.2020
Bronckhorst,1876,2,14:00 15.3,15.3.2020
Buren,214,2,14:00 15.3,15.3.2020
Castricum,383,5,14:00 15.3,15.3.2020
Coevorden,109,11,14:00 15.3,15.3.2020
Cranendonck,1706,2,14:00 15.3,15.3.2020
Cuijk,1684,2,14:00 15.3,15.3.2020
Culemborg,216,2,14:00 15.3,15.3.2020
Dalfsen,148,1,14:00 15.3,15.3.2020
De Bilt,310,12,14:00 15.3,15.3.2020
De Fryske Marren,1940,3,14:00 15.3,15.3.2020
De Wolden,1690,1,14:00 15.3,15.3.2020
Delft,503,2,14:00 15.3,15.3.2020
Den Helder,400,1,14:00 15.3,15.3.2020
Deurne,762,4,14:00 15.3,15.3.2020
Deventer,150,1,14:00 15.3,15.3.2020
Diemen,384,2,14:00 15.3,15.3.2020
Dinkelland,1774,4,14:00 15.3,15.3.2020
Doesburg,221,1,14:00 15.3,15.3.2020
Dongen,766,5,14:00 15.3,15.3.2020
Dordrecht,505,1,14:00 15.3,15.3.2020
Drimmelen,1719,5,14:00 15.3,15.3.2020
Dronten,303,6,14:00 15.3,15.3.2020
Druten,225,5,14:00 15.3,15.3.2020
Duiven,226,1,14:00 15.3,15.3.2020
Ede,228,1,14:00 15.3,15.3.2020
Eersel,770,2,14:00 15.3,15.3.2020
Eijsden-Margraten,1903,3,14:00 15.3,15.3.2020
Eindhoven,772,21,14:00 15.3,15.3.2020
Elburg,230,1,14:00 15.3,15.3.2020
Emmen,114,1,14:00 15.3,15.3.2020
Enschede,153,3,14:00 15.3,15.3.2020
Ermelo,233,7,14:00 15.3,15.3.2020
Etten-Leur,777,8,14:00 15.3,15.3.2020
Geertruidenberg,779,1,14:00 15.3,15.3.2020
Geldrop-Mierlo,1771,2,14:00 15.3,15.3.2020
Gemert-Bakel,1652,16,14:00 15.3,15.3.2020
Gennep,907,1,14:00 15.3,15.3.2020
Gilze en Rijen,784,1,14:00 15.3,15.3.2020
Goeree-Overflakkee,1924,2,14:00 15.3,15.3.2020
Goes,664,2,14:00 15.3,15.3.2020
Goirle,785,6,14:00 15.3,15.3.2020
Gooise Meren,1942,4,14:00 15.3,15.3.2020
Gouda,513,3,14:00 15.3,15.3.2020
Groningen,14,6,14:00 15.3,15.3.2020
Gulpen-Wittem,1729,1,14:00 15.3,15.3.2020
Haaksbergen,158,1,14:00 15.3,15.3.2020
Haaren,788,7,14:00 15.3,15.3.2020
Haarlem,392,4,14:00 15.3,15.3.2020
Haarlemmermeer,394,1,14:00 15.3,15.3.2020
Harderwijk,243,2,14:00 15.3,15.3.2020
Hardinxveld-Giessendam,523,5,14:00 15.3,15.3.2020
Heemskerk,396,1,14:00 15.3,15.3.2020
Heemstede,397,2,14:00 15.3,15.3.2020
Heerhugowaard,398,1,14:00 15.3,15.3.2020
Heerlen,917,5,14:00 15.3,15.3.2020
Heeze-Leende,1658,1,14:00 15.3,15.3.2020
Heiloo,399,2,14:00 15.3,15.3.2020
Hellendoorn,163,2,14:00 15.3,15.3.2020
