,Hubei,Guangdong,Henan,Zhejiang,Hunan,Anhui,Jiangxi,Jiangsu,Chongqing,Shandong,Sichuan,Heilongjiang,Beijing,Shanghai,Hebei,Fujian,Guangxi,Shaanxi,Yunnan,Hainan,Guizhou,Shanxi,Tianjin,Liaoning,Gansu,Jilin,Xinjiang,Inner Mongolia,Ningxia,Qinghai,Xizang,Sum,Sum except Hubei,,,Hubei,Guangdong,Henan,Zhejiang,Hunan,Anhui,Jiangxi,Jiangsu,Chongqing,Shandong,Sichuan,Heilongjiang,Beijing,Shanghai,Hebei,Fujian,Guangxi,Shaanxi,Yunnan,Hainan,Guizhou,Shanxi,Tianjin,Liaoning,Gansu,Jilin,Xinjiang,Inner Mongolia,Ningxia,Qinghai,Xizang,Sum,Sum withoutHubei
Jan-20,270,14,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,21,,Jan-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-21,375,26,1,5,1,0,2,0,5,1,2,0,10,9,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,440,65,,Jan-21,105,12,1,5,1,0,2,0,5,1,2,0,5,7,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,149,44
Jan-22,444,32,5,10,9,9,3,1,9,5,5,0,14,16,1,1,5,0,1,4,1,1,4,2,0,0,0,0,1,0,0,583,139,,Jan-22,69,6,4,5,8,9,1,1,4,4,3,0,4,7,1,1,5,0,0,4,1,1,2,2,0,0,0,0,1,0,0,143,74
Jan-23,549,53,9,27,24,15,7,9,27,6,8,4,26,20,2,3,13,3,2,8,3,1,5,4,2,1,2,1,2,0,0,836,287,,Jan-23,105,21,4,17,15,6,4,8,18,1,3,4,12,4,1,2,8,3,1,4,2,0,1,2,2,1,2,1,1,0,0,253,148
Jan-24,729,78,32,62,43,39,18,18,58,18,13,9,36,33,8,9,23,5,5,11,4,6,8,12,4,4,3,2,3,1,0,1294,565,,Jan-24,180,25,23,35,19,24,11,9,31,12,5,5,10,13,6,6,10,2,3,3,1,5,3,8,2,3,1,1,1,1,0,458,278
Jan-25,1052,98,83,104,69,60,36,31,75,39,44,15,51,40,13,18,33,15,11,20,5,9,10,17,7,4,4,7,4,1,0,1975,923,,Jan-25,323,20,51,42,26,21,18,13,17,21,31,6,15,7,5,9,10,10,6,9,1,3,2,5,3,0,1,5,1,0,0,681,358
Jan-26,1423,146,128,128,100,70,48,47,110,46,69,21,72,53,18,35,46,22,19,27,7,13,14,22,14,6,5,11,7,4,0,2731,1308,,Jan-26,371,48,45,24,31,10,12,16,35,7,25,6,21,13,5,17,13,7,8,7,2,4,4,5,7,2,1,4,3,3,0,756,385
Jan-27,2714,188,168,173,143,106,72,70,132,87,90,30,91,66,33,56,51,35,26,38,9,20,23,27,19,8,10,13,11,6,0,4515,1801,,Jan-27,1291,42,40,45,43,36,24,23,22,41,21,9,19,13,15,21,5,13,7,11,2,7,9,5,5,2,5,2,4,2,0,1784,493
Jan-28,3554,241,206,296,221,152,109,99,147,121,108,37,102,80,48,82,58,46,51,43,9,27,24,36,24,9,13,16,12,6,0,5977,2423,,Jan-28,840,53,38,123,78,46,37,29,15,34,18,7,11,14,15,26,7,11,25,5,0,7,1,9,5,1,3,3,1,0,0,1462,622
Jan-29,4586,311,278,428,277,200,162,129,165,145,142,43,111,101,65,101,78,56,70,46,12,35,27,39,26,14,14,18,17,6,1,7703,3117,,Jan-29,1032,70,72,132,56,48,53,30,18,24,34,6,9,21,17,19,20,10,19,3,3,8,3,3,2,5,1,2,5,0,1,1726,694
