time,Hongkong,Macao,Taiwan,China,South Korea,Japan,Singapore,Australia,Malaysia,Vietnam,Philippines,New Zealand,Cambodia,Thailand,India,Indonesia, Nepal,Sri Lanka,Diamond Princess,Italy,Germany,France,Spain,UK,Switzerland,Norway,Sweden,Netherlands,Austria,Israel,Croatia,Greece,Finland,Denmark,Czechia,Azerbaijan,Georgia,Romania,Russia,Iceland,North Macedonia,Ireland,Estonia,Lithuania,Latvia,Portugal,Andorra,Luxembourg,Belarus,San Marino,Armenia,Belgium,Monaco,Iran,Kuwait,Bahrain,UAE,Iraq,Lebanon,Oman,Pakistan,Qatar,Egypt,Afghanistan,Jordan,Morocco,Saudi Arabia,Tunisia,US,Canada,Mexico,Brazil,Ecuador,Algeria,Nigeria,Senegal
2020/1/20,,,,198,1,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/1/21,,,,291,1,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
2020/1/22,1,1,1,443,1,1,0,,,0,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
2020/1/23,2,2,1,576,2,1,1,0,,2,,,,4,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
2020/1/24,5,2,3,840,2,3,3,3,0,2,,,,4,,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
2020/1/25,5,2,3,1297,2,3,4,4,3,2,,,,5,,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,
2020/1/26,8,5,4,1992,4,4,4,4,4,2,,,,5,,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,
2020/1/27,8,7,5,2764,4,4,4,4,4,2,,,0,5,,,1,0,,,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,
2020/1/28,8,7,8,4538,4,6,7,5,4,2,,,1,14,,,1,1,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,5,2,,,,,,
2020/1/29,8,7,8,5997,4,7,7,7,4,2,0,,1,14,0,,1,1,,,4,4,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,5,3,,,,,,
2020/1/30,12,7,9,7739,4,11,10,7,7,2,1,,1,14,1,,1,1,,0,4,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,5,3,,,,,,
2020/1/31,13,7,10,9722,11,14,13,9,8,5,1,,1,14,1,,1,1,,2,5,6,0,0,,,0,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,6,3,,,,,,
2020/2/1,14,7,10,11822,12,17,16,12,8,6,1,,1,19,1,,1,1,,2,7,6,1,2,,,1,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,7,4,,,,,,
2020/2/2,15,8,10,14413,15,20,18,12,8,7,2,,1,19,2,,1,1,,2,8,6,1,2,,,1,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,8,4,,,,,,
